M,cuBLAS,Triton Default Tuning,Triton Advanced Tuning,Triton No Tuning
256.0,4.096000,3.640889,4.096000,3.640889
384.0,11.059200,12.288000,12.288000,10.053818
512.0,26.214401,23.831273,26.214401,18.724571
640.0,39.384616,39.384616,42.666665,32.000000
768.0,63.195428,55.296000,63.195428,46.565055
896.0,78.051553,78.051553,87.808000,58.538665
1024.0,104.857603,99.864382,99.864382,74.898285
1152.0,135.726544,129.825388,129.825388,78.578530
1280.0,157.538463,163.840004,163.840004,74.472727
1408.0,151.438217,132.970149,129.804192,77.882512
1536.0,176.947204,153.867127,157.286398,92.521411
1664.0,179.978245,176.449258,176.449258,89.098141
1792.0,172.914215,208.137481,208.137481,96.063450
1920.0,200.347822,170.666670,170.666670,100.173911
2048.0,202.135135,195.083907,195.083907,98.689506
2176.0,197.290670,218.735299,218.735299,102.150497
2304.0,248.831991,246.266731,243.753804,104.771366
2432.0,216.111261,214.461568,212.836847,104.440382
2560.0,240.941172,234.057137,237.449270,103.369086
2688.0,210.739197,211.916520,210.739197,102.799613
2816.0,229.548456,230.763007,230.763007,100.958815
2944.0,249.180166,250.432319,250.432319,104.697549
3072.0,230.175210,231.114707,233.016887,108.473376
3200.0,247.104254,249.027231,249.027231,109.028963
3328.0,234.499328,232.981544,233.737983,108.584159
3456.0,252.732177,249.602389,251.157533,108.508165
3584.0,254.717817,237.871409,241.060040,107.425793
3712.0,242.469285,252.266028,254.191718,108.820636
3840.0,245.760004,242.526311,243.059340,107.789472
3968.0,241.154018,251.595746,252.637543,105.831683
4096.0,256.140715,246.723760,253.240987,109.565491
