M,cuBLAS,Triton Default,Triton Advanced,Triton Max,Triton (No Tuning)
256.0,1.459396,2.402236,3.000218,1.573257,1.822026
384.0,8.182529,6.144000,6.541486,6.602507,5.777868
512.0,14.563555,9.404269,9.857353,10.082462,6.762280
640.0,20.660782,11.872464,11.636364,12.800000,8.827586
768.0,29.217288,16.862151,16.688212,17.794816,9.036563
896.0,26.017185,14.115446,13.773804,16.617149,9.369115
1024.0,34.952534,16.229471,16.356049,16.652324,9.443308
1152.0,29.813257,14.411990,13.322851,16.965818,9.563277
1280.0,32.540219,15.875970,15.515151,19.020751,9.403257
1408.0,34.060296,14.734530,15.060155,16.930981,8.810061
1536.0,39.077367,16.332607,16.432737,16.979715,8.678868
1664.0,32.919714,15.103201,16.498521,17.108198,8.363787
1792.0,35.288618,17.027818,16.480094,17.589942,8.170413
1920.0,35.061265,15.316126,15.653780,15.853211,8.250672
2048.0,31.873123,15.188371,14.785555,15.947924,8.041022
2176.0,32.046419,14.582353,14.412318,14.935447,7.847198
2304.0,29.350225,14.585508,13.832255,14.628493,7.796303
2432.0,30.269110,14.136468,14.271562,14.473289,7.642672
2560.0,31.816004,14.907568,14.735055,15.502764,7.645357
2688.0,29.268627,14.302723,14.106014,14.434363,7.725673
2816.0,27.327197,14.226422,13.089621,14.547768,7.749568
2944.0,27.825813,14.167523,13.557136,14.393208,7.561942
3072.0,27.777910,14.235181,13.355589,13.945825,7.569491
3200.0,20.821472,14.479024,13.772048,14.348016,7.614416
3328.0,24.420645,13.917287,13.458204,14.556239,7.408012
3456.0,21.734084,14.009911,13.540740,14.350821,7.475764
3584.0,21.426042,14.263158,13.250071,13.993457,7.471779
3712.0,20.421532,14.111227,13.503291,13.931318,7.448980
3840.0,22.106793,13.563174,13.639915,14.431328,7.467891
3968.0,18.085616,13.783197,13.591605,14.175643,7.587610
4096.0,23.236638,14.026948,14.109200,14.508310,7.695791
