M,cuBLAS,Triton Default Tuning,Triton Advanced Tuning,Triton Max Tuning,Triton No Tuning
256.0,2.978909,2.520615,2.978909,3.276800,2.520615
384.0,6.912000,6.912000,7.899428,9.216000,7.372800
512.0,14.563555,13.797053,15.420235,16.384000,13.797053
640.0,22.260869,21.333333,24.380953,24.380953,21.333333
768.0,34.028308,30.508137,34.028308,34.028308,28.539871
896.0,41.321411,36.971791,36.971791,36.971791,33.450667
1024.0,53.773130,43.690665,43.690665,43.690665,32.263877
1152.0,48.161033,42.056111,42.056111,47.396572,35.547429
1280.0,55.351349,50.567902,50.567902,56.888887,39.009524
1408.0,69.894567,62.664092,62.664092,61.952000,37.598456
1536.0,82.301023,73.727997,73.727997,73.727997,39.763415
1664.0,64.277941,52.625214,52.625214,54.538859,38.621940
1792.0,73.943582,55.095217,54.693063,61.083825,41.019797
1920.0,71.626943,60.898679,61.168141,68.776119,40.186047
2048.0,79.512870,70.492506,70.492506,70.197556,40.281431
2176.0,89.042689,77.398646,77.998640,77.398646,41.321658
2304.0,71.951423,65.267411,65.626021,68.446623,40.556659
2432.0,75.320281,67.211635,67.372815,66.891581,40.134950
2560.0,82.125311,72.656319,73.142856,72.979953,41.849296
2688.0,84.295681,79.027202,79.027202,79.524227,40.657080
2816.0,83.712490,71.265045,71.733898,71.616107,40.722883
2944.0,83.899046,72.966370,73.721938,73.504474,40.157962
3072.0,83.208088,77.038236,77.993256,78.752578,39.833348
3200.0,85.447263,82.051282,83.550913,84.656085,39.975016
3328.0,85.806075,77.576826,78.166443,78.851363,39.796183
3456.0,83.459178,77.970572,77.745004,79.586935,39.803293
3584.0,87.636833,82.415572,83.254996,84.190443,39.820812
3712.0,86.716441,75.967562,76.199349,80.465036,39.453928
3840.0,85.730230,79.220628,78.825376,79.334289,40.055052
3968.0,91.403695,78.421554,76.889690,77.871048,40.519321
4096.0,92.691803,79.489324,80.659693,82.493991,40.341969
