-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                       CompiledFunction        44.68%      66.656ms        58.88%      87.836ms      87.836ms       1.981ms         1.03%     157.801ms     157.801ms             1  
                                            aten::copy_        15.26%      22.757ms        47.78%      71.283ms     440.019us      31.098ms        16.24%      58.605ms     361.759us           162  
                                        cudaMemcpyAsync        14.07%      20.989ms        14.07%      20.989ms     131.181us       0.000us         0.00%       0.000us       0.000us           160  
                                  cudaDeviceSynchronize        10.33%      15.414ms        10.33%      15.414ms      15.414ms       0.000us         0.00%       0.000us       0.000us             1  
                                         cuLaunchKernel         2.95%       4.408ms         2.95%       4.408ms      27.043us       0.000us         0.00%       0.000us       0.000us           163  
                                aten::cudnn_convolution         2.26%       3.370ms         4.21%       6.284ms     118.566us     115.235ms        60.17%     115.235ms       2.174ms            53  
                                       cudaLaunchKernel         1.94%       2.892ms         1.94%       2.892ms      22.246us       0.000us         0.00%       0.000us       0.000us           130  
                                     aten::_convolution         1.86%       2.779ms         6.08%       9.063ms     171.000us     270.000us         0.14%     115.505ms       2.179ms            53  
                                    aten::empty_strided         1.35%       2.017ms         1.35%       2.017ms       6.149us     670.000us         0.35%     670.000us       2.043us           328  
                                      aten::convolution         1.24%       1.850ms         7.32%      10.913ms     205.906us     269.000us         0.14%     115.774ms       2.184ms            53  
                                           aten::detach         1.01%       1.508ms         1.14%       1.707ms      10.669us       1.402ms         0.73%       2.248ms      14.050us           160  
                                triton_poi_fused_add_32         0.42%     630.000us         2.80%       4.171ms      78.698us     265.000us         0.14%     265.000us       5.000us            53  
triton_red_fused__native_batch_norm_legit_functional...         0.31%     467.000us         0.41%     606.000us      55.091us     923.000us         0.48%     923.000us      83.909us            11  
triton_poi_fused__native_batch_norm_legit_functional...         0.18%     274.000us         0.24%     357.000us      32.455us       1.101ms         0.57%       1.101ms     100.091us            11  
triton_red_fused__native_batch_norm_legit_functional...         0.17%     247.000us         0.21%     317.000us      45.286us       1.732ms         0.90%       1.732ms     247.429us             7  
                                                 detach         0.13%     199.000us         0.13%     199.000us       1.244us     846.000us         0.44%     846.000us       5.287us           160  
triton_red_fused__native_batch_norm_legit_functional...         0.12%     184.000us         0.16%     233.000us      46.600us     270.000us         0.14%     270.000us      54.000us             5  
                               TorchDynamo Cache Lookup         0.12%     172.000us         0.12%     172.000us     172.000us     180.000us         0.09%     180.000us     180.000us             1  
triton_red_fused__native_batch_norm_legit_functional...         0.11%     171.000us         0.14%     216.000us      30.857us     858.000us         0.45%     858.000us     122.571us             7  
